Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,186.000000,189.059998,183.960007,185.270004,185.270004,14370700
2018-08-02,181.539993,182.899994,179.779999,182.600006,182.600006,20976500
2018-08-03,184.149994,184.500000,180.080002,180.839996,180.839996,18185100
2018-08-06,180.699997,180.860001,177.490005,178.619995,178.619995,35419000
2018-08-07,180.289993,183.000000,179.740005,179.919998,179.919998,20620300
2018-08-08,180.000000,180.179993,176.550003,177.520004,177.520004,21152400
2018-08-09,179.309998,180.630005,176.759995,177.190002,177.190002,35207300
2018-08-10,175.570007,180.449997,174.750000,180.009995,180.009995,22049200
2018-08-13,179.649994,180.649994,177.000000,177.679993,177.679993,14674000
2018-08-14,175.139999,176.199997,170.770004,172.529999,172.529999,38508600
2018-08-15,167.110001,169.850006,165.389999,169.830002,169.830002,41261900
